iter	Passed	Remaining
0	0	908
1	1	848
2	2	933
3	3	922
4	4	977
5	5	962
6	6	943
7	7	941
8	8	940
9	9	944
10	11	1005
11	12	1014
12	13	1006
13	14	992
14	15	995
15	15	982
16	17	1023
17	18	1005
18	19	991
19	19	976
20	20	968
21	21	953
22	22	938
23	22	928
24	23	915
25	24	900
26	24	890
27	25	878
28	26	871
29	26	858
30	27	850
31	27	844
32	28	836
33	29	849
34	30	845
35	31	837
36	32	834
37	32	824
38	33	813
39	33	807
40	34	806
41	35	805
42	35	800
43	36	794
44	37	789
45	37	785
46	38	780
47	39	779
48	39	775
49	40	771
50	41	767
51	42	770
52	43	768
53	43	764
54	44	761
55	44	758
56	45	754
57	46	749
58	47	750
59	47	747
60	48	744
61	48	740
62	49	736
63	50	733
64	50	731
65	51	728
66	52	727
67	52	724
68	53	718
69	53	717
70	54	714
71	55	712
72	55	709
73	56	707
74	56	700
75	57	699
76	58	696
77	58	694
78	59	692
79	60	691
80	60	688
81	61	685
82	61	683
83	62	681
84	63	680
85	64	680
86	64	680
87	66	693
88	67	694
89	68	694
90	69	696
91	70	698
92	71	699
93	72	701
94	74	705
95	74	703
96	75	704
97	76	704
98	77	704
99	78	703
100	79	707
101	80	707
102	80	703
103	81	701
104	82	699
105	82	694
106	83	693
107	83	690
108	84	687
109	84	684
110	85	682
111	85	679
112	86	677
113	86	675
114	87	673
115	88	671
116	88	668
117	89	667
118	89	665
119	90	663
120	90	660
121	91	658
122	92	657
123	92	655
124	93	653
125	93	651
126	94	649
127	95	648
128	95	646
129	96	644
130	96	643
131	98	645
132	98	644
133	99	645
134	100	644
135	101	644
136	102	643
137	102	641
138	103	641
139	104	639
140	104	637
141	105	636
142	105	634
143	106	632
144	107	631
145	107	629
146	108	628
147	108	626
148	109	625
149	110	624
150	110	623
151	111	622
152	112	620
153	112	619
154	113	618
155	113	615
156	114	614
157	114	612
158	115	611
159	116	610
160	116	608
161	117	607
162	118	606
163	118	604
164	119	603
165	119	602
166	120	600
167	120	599
168	121	597
169	122	596
170	122	594
171	123	593
172	123	591
173	124	590
174	124	588
175	125	589
176	126	588
177	127	587
178	127	586
179	128	585
180	129	584
181	129	582
182	130	581
183	130	580
184	131	578
185	131	577
186	132	576
187	133	574
188	133	573
189	134	573
190	135	571
191	135	570
192	136	569
193	136	567
194	137	566
195	137	565
196	138	564
197	138	562
198	139	561
199	140	560
200	140	559
201	141	558
202	141	557
203	142	555
204	142	554
205	143	553
206	144	551
207	144	550
208	145	549
209	145	548
210	146	547
211	146	546
212	147	545
213	148	544
214	148	543
215	149	541
216	149	540
217	150	539
218	150	538
219	151	537
220	152	536
221	152	535
222	153	534
223	153	533
224	154	532
225	155	531
226	155	530
227	156	528
228	156	527
229	157	526
230	157	525
231	158	523
232	158	522
233	159	521
234	159	520
235	160	519
236	161	518
237	161	517
238	162	516
239	162	515
240	163	514
241	163	513
242	164	511
243	164	510
244	165	509
245	166	508
246	166	507
247	167	506
248	167	506
249	168	505
250	169	504
251	169	503
252	170	503
253	170	502
254	171	501
255	172	500
256	172	499
257	173	498
258	173	497
259	174	496
260	174	494
261	175	493
262	175	492
263	176	491
264	176	490
265	177	489
266	178	488
267	178	487
268	179	486
269	179	485
270	180	485
271	180	484
272	181	483
273	182	482
274	182	481
275	183	480
276	183	479
277	184	478
278	184	477
279	185	476
280	186	475
281	186	475
282	187	474
283	187	473
284	188	472
285	188	471
286	189	470
287	190	470
288	190	469
289	191	468
290	191	467
291	192	466
292	193	466
293	193	465
294	194	464
295	194	463
296	195	462
297	196	461
298	196	461
299	197	460
300	197	459
301	198	458
302	199	458
303	199	457
304	200	456
305	201	456
306	201	455
307	202	454
308	202	453
309	203	453
310	204	452
311	204	451
312	205	450
313	206	450
314	206	449
315	207	448
316	207	447
317	208	446
318	208	445
319	209	445
320	210	444
321	210	443
322	211	442
323	211	442
324	212	441
325	213	440
326	213	439
327	214	438
328	214	437
329	215	437
330	215	436
331	216	435
332	217	435
333	217	434
334	218	433
335	218	432
336	219	431
337	220	430
338	220	430
339	221	429
340	221	428
341	222	428
342	223	427
343	223	427
344	224	426
